Record ID,Category,Prompt Preview,检查是否完成,是否存在Viewer失败项,是否待仿真,标注版本,零件拆分与活动属性是否合理,零件数量和种类是否符合描述,必要结构是否完整,几何形状、尺寸和比例是否合理,零件位置、朝向与装配关系是否合理,初始状态是否不存在非预期穿插、悬浮或脱离,父子关系与连接对象是否正确,活动零件是否具有对应的运动学关节,运动学关节类型是否正确,运动学关节的位置与轴向是否正确,运动学关节的运动范围是否合理,活动零件是否具有可信的实体连接或支撑结构,运动过程中是否不存在非预期穿模或几何干涉,多部件机构的连接与运动关系是否合理,Notes,Annotator,Legacy Failure Types,Legacy Source,Legacy Conversion Notes,Created At,Updated At
rec_grill_with_hinged_lid_0004,Grill with hinged lid,"A barrel-style outdoor grill with a horizontal cooking chamber and a side shelf. The lower half of the barrel is fixed to a cart frame, and the upper half ac...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,不满足,满足,,wanglin,missing_dynamics,新版原始标注（覆盖旧版前350条）,该 Record ID 同时出现在旧版前350条和新版235条中，最终采用新版原始细粒度标注。旧版与新版的 Viewer 是否失败结论一致。,2026-07-19T18:15:15.484958+00:00,2026-07-29T23:53:59.333090+00:00
rec_hand_truck_dolly_032c394e20744e9eb49f3c727d1f924b,Hand truck dolly,"An appliance hand truck with a tall frame, strap hooks, and a folding nose plate. The main frame carries two large rear wheels, and the broad lower plate is...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,,wanglin,,,,2026-07-19T18:15:52.219617+00:00,2026-07-29T23:53:59.333090+00:00
rec_graphics_card_with_cooling_fans_0004,Graphics card with cooling fans,"A large triple-fan graphics card with a rigid backplate and angled outer shroud. The card body is a flat PCB and heatsink slab, with three circular fan openi...",是,是,否,new,不满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,,wanglin,,,,2026-07-19T18:18:02.583047+00:00,2026-07-29T23:53:59.333090+00:00
rec_hingeddoor_cabinet_8c54713a63174926b9050d6f56067432,Hinged-door cabinet,"A small bedside cabinet with one framed door and a flip-out inner tray. The outer case is fixed, the main door is hinged to one side, and the shallow inner t...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,满足,满足,,wanglin,,,,2026-07-19T18:18:47.068821+00:00,2026-07-29T23:53:59.333090+00:00
rec_instrument_case_with_hinged_lid_b9b2c2afa6c9423cbf3bcd5eb64c78d9,Instrument case with hinged lid,A molded equipment case with a deep lower shell and a shallow lid on a full-width rear hinge. The case has front draw latches and a center carry handle on th...,是,是,否,new,满足,满足,不满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,,wanglin,,,,2026-07-19T18:19:34.607292+00:00,2026-07-29T23:53:59.333090+00:00
rec_internet_router_1859bb591ee741fd916ffe2c874cec97,Internet Router,"A flat home router with two fold-out paddle antennas and a small rocker power switch. The main body is a rounded rectangular slab, the antennas mount on shor...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,满足,,wanglin,,,,2026-07-19T18:21:31.479166+00:00,2026-07-29T23:53:59.333090+00:00
rec_hinged_window_or_hatch_9fd07951a0b3469f9a8543eea37cae60,Hinged window or hatch,A marine deck hatch with a thick rectangular frame and a slightly raised lid. The lid overlaps the fixed curb frame and has side latch blocks near the front...,是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,,wanglin,,,,2026-07-19T18:22:24.830619+00:00,2026-07-29T23:53:59.333090+00:00
rec_jet_engine_e07fdb1f914d4c9ba7d5482e758b9706,Jet Engine,"A regional-airliner turbofan with a broad intake lip and a long smooth nacelle. The engine has a central spinner, a large front fan, and a short exhaust cone...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,,wanglin,,,,2026-07-19T18:23:10.870607+00:00,2026-07-29T23:53:59.333090+00:00
rec_joystick_mechanism_8638fe862cf5401cae1d223ede8244d4,Joystick mechanism,"A tall pedestal joystick with a rectangular base housing, an open cardan yoke, an inner frame, and a long tapered control lever. The support structure should...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,,wanglin,,,,2026-07-19T18:24:15.597751+00:00,2026-07-29T23:53:59.333090+00:00
rec_kick_scooter_ee258e22648e4121b73b17c49ea7a2ac,Kick scooter,"An off-road kick scooter with large pneumatic wheels and a front fork. The long deck is fixed between a steerable front fork and a rear wheel swing bracket,...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,满足,满足,不满足,,wanglin,,,,2026-07-19T18:25:02.376473+00:00,2026-07-29T23:53:59.333090+00:00
rec_keyboard_4227b74b61c949d591c6eea8402571f6,Keyboard,"A full-size office keyboard with a main typing block and a numeric keypad. The housing is a broad shallow tray with stepped key rows, and each key sits in it...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,满足,满足,,wanglin,,,,2026-07-19T18:25:51.593879+00:00,2026-07-29T23:53:59.333090+00:00
rec_knee_scooter_9b7ef8f8aa2b467c80e56ea70897ec81,Knee scooter,"A medical knee scooter with a padded knee platform and bicycle-style handlebar. A rectangular lower frame carries four small wheels, with the front pair in a...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,,wanglin,missing_dynamics,新版原始标注（覆盖旧版前350条）,该 Record ID 同时出现在旧版前350条和新版235条中，最终采用新版原始细粒度标注。旧版与新版的 Viewer 是否失败结论不一致。,2026-07-19T18:27:22.574134+00:00,2026-07-29T23:53:59.333090+00:00
rec_laptop_clamshell_d201e66211d4426096f1625b7b4fc1cf,Laptop clamshell,"A rugged laptop with a thick lower chassis and a reinforced display housing. The base carries a keyboard and a large clickpad, and the screen panel is joined...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,满足,满足,,wanglin,,,,2026-07-19T18:27:58.223487+00:00,2026-07-29T23:53:59.333090+00:00
rec_laptop_stand_with_articulated_height_adjustment_b267c14e3d6843369265f89dd005d51c,Laptop stand with articulated height adjustment,"A cantilever laptop stand with a heavy desk base, one articulated side arm rising from the rear corner, and a single rigid tray carried over the center of th...",是,是,否,new,满足,满足,满足,不满足,满足,不满足,满足,满足,满足,满足,满足,满足,不满足,满足,,wanglin,unreasonable_prompt,新版原始标注（覆盖旧版前350条）,该 Record ID 同时出现在旧版前350条和新版235条中，最终采用新版原始细粒度标注。旧版与新版的 Viewer 是否失败结论一致。,2026-07-19T18:29:31.938656+00:00,2026-07-29T23:53:59.333090+00:00
rec_lazy_susan_efcb4237eb1c4f96a46d0b370cf1dcb5,Lazy Susan,"A two-tier lazy Susan with a fixed central post and two separate rotating shelves. Each circular shelf is carried by its own bearing collar around the post,...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,,wanglin,,,,2026-07-19T18:30:02.227179+00:00,2026-07-29T23:53:59.333090+00:00
rec_rolling_toolbox_with_telescoping_handle_142154fd9b9044eeadad2e03184e1ee8,Rolling toolbox with telescoping handle,"A stackable rolling toolbox base with a large lower bin, a telescoping handle, and two side latches securing the lid, plus two side latch levers. the lid and...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,不满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:00:10.460458+00:00,2026-07-29T23:53:59.333090+00:00
rec_rolling_walker_9aca713b09a646a596f53b05fdc08ca3,Rolling walker,"A four-leg rolling walker with hand grips and front casters. Two side frames are tied by crossbars, with front caster forks and a rear support pair under the...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:01:38.170034+00:00,2026-07-29T23:53:59.333090+00:00
rec_roof_vent_tower_with_hinged_flap_47e9a8236bf1404d86d2b6cbe7a4db88,Roof vent tower with hinged flap,Model Roof vent tower with hinged flap as an industrial safety-first variant for heavy duty cycles. Start from a vent tower with framed openings and a weathe...,是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,不涉及,,xuge,,,,2026-07-20T18:03:35.733560+00:00,2026-07-29T23:53:59.333090+00:00
rec_rotary_base_with_vertical_slide_0258ad10eb7b434fadc225de646ee890,Rotary base with vertical slide,"A low-profile rotary platform with lifting head. A squat turntable supports a short tower, and the tower carries a narrow slide stage ending in a square pad....",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:04:34.808139+00:00,2026-07-29T23:53:59.333090+00:00
rec_rotary_table_with_tilting_trunnion_7ab48c94590045bf94ac6aebe6e13cd9,Rotary table with tilting trunnion,"A compact cradle indexer with a circular lower stage, an offset support frame, and a round faceplate carried in the frame. The upper faceplate should feel li...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-20T18:06:26.895975+00:00,2026-07-29T23:53:59.333090+00:00
rec_rotating_observatory_dome_fea4ae109f11450dbb054dc400d19903,Rotating observatory dome,"An observatory dome with a rotating shell and a slit shutter. A base ring supports the dome shell, and a single shutter leaf closes the slit opening near the...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:08:53.268469+00:00,2026-07-29T23:53:59.333090+00:00
rec_screwcap_bottle_94b9b87d519a40aa99f27da59d944824,Screw-cap bottle,"A screw-cap bottle. A bottle body rises to a threaded neck, capped by a separate screw closure. Joints: the cap rotates continuously about the bottle neck ax...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:11:25.372265+00:00,2026-07-29T23:53:59.333090+00:00
rec_screwin_light_bulb_with_socket_0006,Screw-in light bulb with socket,"A realistic, highly detailed Screwin Light Bulb With Socket in a rugged utility variant, with a bulb envelope, threaded metal screw base, and a socket collar...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:12:54.498665+00:00,2026-07-29T23:53:59.333090+00:00
rec_searchlight_tower_0005,Searchlight tower,"A realistic, highly detailed Searchlight Tower in a refined premium variant, with a rigid tower mast, service platform details, and a spotlight head mounted...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-20T18:14:42.029474+00:00,2026-07-29T23:53:59.333090+00:00
rec_serial_elbow_arm_dfee8ddd003d4de1b9f8f7eba24f5351,Serial elbow arm,"A compact serial elbow arm with a grounded shoulder housing, a straight upper link, a broad elbow hub, and a short forearm ending in a rectangular pad. The t...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:15:38.756764+00:00,2026-07-29T23:53:59.333090+00:00
rec_service_access_panel_0007,Service access panel,"A realistic, highly detailed Service Access Panel in a refined premium variant, with a rigid enclosure face, framed service opening, and latch-ready panel ed...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-20T18:17:55.543776+00:00,2026-07-29T23:53:59.333090+00:00
rec_sewing_box_with_simple_hinged_lid_f32d66552a9f4899a5f23f4c727a4b23,Sewing box with simple hinged lid,Create a cost-optimized mass-manufacturable Sewing box with simple hinged lid. Base architecture: a storage box body with a simple rear-hinged lid. Reduce pa...,是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,满足,不满足,不涉及,,xuge,,,,2026-07-20T18:19:02.228143+00:00,2026-07-29T23:53:59.333090+00:00
rec_shoulderelbowwrist_arm_0002,Shoulder-elbow-wrist arm,"A lightweight articulated arm featuring a rotary shoulder, rotary elbow, and single wrist joint, modeled as a clean CAD mechanism.",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-20T18:19:57.437533+00:00,2026-07-29T23:53:59.333090+00:00
rec_simple_aframe_step_ladder_b5d0355811f1461da333653e479b275f,Simple A-frame step ladder,"A folding A-frame step ladder. A front climbing frame and a rear support frame meet at a top cap, with wide treads on the front frame. Joints: the rear frame...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-20T18:20:54.595270+00:00,2026-07-29T23:53:59.333090+00:00
rec_simple_drying_rack_bf797b728956438db65768dca56ec9fd,Simple drying rack,A fold-out drying rack with side wings. A central rack frame carries two wing frames and a lower support frame with hanging rails across the spans. Joints: e...,是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-20T18:22:16.238113+00:00,2026-07-29T23:53:59.333090+00:00
rec_simple_ironing_board_0c59eca7dcc44990a857d1bbc8f42082,Simple ironing board,"An ironing board with a folding leg trestle. A board top mounts on a base bracket, with one U-shaped leg frame under the middle and a small fixed rest at one...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,不涉及,,xuge,,,,2026-07-20T18:24:20.239965+00:00,2026-07-29T23:53:59.333090+00:00
rec_single_continuous_rotary_shaft_59d8c5bbf2d54ef3a2510a03c05477b5,Single continuous rotary shaft,A pedestal spindle shaft module. A grounded pedestal frame supports a horizontal spindle through two spaced supports and a plain end flange. The spindle is a...,是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:24:55.494743+00:00,2026-07-29T23:53:59.333090+00:00
rec_single_pitch_axis_module_ecd1ca29074f4c46b21ef051ac3a41df,Single pitch axis module,"A motorized tilt cradle with one clean revolute axis, compact support tower, and a balanced equipment plate.",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:25:41.209071+00:00,2026-07-29T23:53:59.333090+00:00
rec_single_prismatic_slider_f44777bd887041f9b1175a02ffb7fbc2,Single prismatic slider,A single desk drawer sliding straight out of a minimal rectangular desk carcass on one prismatic axis.,是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:26:21.768208+00:00,2026-07-29T23:53:59.333090+00:00
rec_single_revolute_hinge_6c6ea65bf4b54f5cb8735c5cd4d4c57d,Single revolute hinge,"An offset inspection hatch hinge with a short mounting leaf, a taller moving leaf, and a spacer-like barrel that keeps the leaves apart. The hinge geometry s...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-20T18:27:05.188572+00:00,2026-07-29T23:53:59.333090+00:00
rec_single_roll_axis_module_ee87b8d94add4b9eb7a987334d7f1762,Single roll axis module,"An under-slung roll-axis spindle module. A top support bracket carries the moving member below it, creating a different silhouette while keeping the same sin...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:28:08.408831+00:00,2026-07-29T23:53:59.333090+00:00
rec_single_yaw_axis_module_82d7179b727d453796431dbf471c26c4,Single yaw axis module,"A pedestal-mounted rotary stage with a round lower housing, a shallow upper platform, and a short equipment bracket fixed to the rotating platform. The lower...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:29:32.410834+00:00,2026-07-29T23:53:59.333090+00:00
rec_singleleaf_drawbridge_b800c64ef1104598b4321f2f3710dba6,Single-leaf drawbridge,A single-leaf drawbridge. A fixed shore frame carries one bridge leaf on heavy side bearings. Joints: the bridge leaf is a single revolute panel about a hori...,是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-20T18:30:43.908047+00:00,2026-07-29T23:53:59.333090+00:00
rec_single_rotor_helicopter_90637aef635c4429a1f1b432e4449e0a,Single-rotor helicopter,"An offshore transport helicopter with a long fuselage, wheeled landing gear, a five-blade main rotor on a tall mast, and a tail boom with a tail rotor on the...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,不满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-20T18:33:06.475723+00:00,2026-07-29T23:53:59.333090+00:00
rec_skateboard_746de8d78d9a4747ad202ec9810657f0,Skateboard,"A realistic, highly detailed Skateboard in a rugged utility variant, with a deck body, front and rear truck assemblies, wheel axles, and realistic bushing an...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-20T18:35:43.345863+00:00,2026-07-29T23:53:59.333090+00:00
rec_sliding_security_gate_3fcc2702a2f04b15a8411fbf88bbdea4,Sliding security gate,A sliding security gate. A fixed post and frame support one gate leaf captured by a top track or bottom guide. Joints: the gate leaf translates prismatically...,是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:36:51.818631+00:00,2026-07-29T23:53:59.333090+00:00
rec_sliding_window_c51ac9b522314daca90da5e06b4ad099,Sliding window,A single-sash sliding window. A rectangular outer frame contains one fixed frame segment and one sliding sash. Joints: the sash translates prismatically alon...,是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:37:49.248269+00:00,2026-07-29T23:53:59.333090+00:00
rec_sluice_gate_with_vertical_lift_panel_cf3dbfa37dd34b61a5ef4b7ec6a3c351,Sluice gate with vertical lift panel,"A water-control gate with a wide rectangular opening, a sliding steel panel held between side tracks, and a geared handwheel unit on the top bridge. The stee...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-20T18:39:22.707915+00:00,2026-07-29T23:53:59.333090+00:00
rec_stand_mixer_c0fa93459fd4468598e818696b301b96,Stand Mixer,"A retro home baking stand mixer with a compact cast-metal base, a stainless bowl carried just ahead of the neck, and a bulbous head fitted with a flat beater...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-20T18:41:09.304587+00:00,2026-07-29T23:53:59.333090+00:00
rec_standing_desk_with_synchronous_telescoping_legs_and_articulated_controls_d43770cbf42f4ce39500228286fc5614,Standing desk with synchronous telescoping legs and articulated controls,A four-leg conference standing desk with a broad rectangular top and a side-mounted control knob. The rigid top spans a heavy underframe over four telescopin...,是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不满足,,xuge,,,,2026-07-20T18:42:04.379983+00:00,2026-07-29T23:53:59.333090+00:00
rec_stationary_exercise_bike_0004,Stationary exercise bike,"A realistic, highly detailed Stationary Exercise Bike in a refined premium variant, with a stable frame, crank and flywheel housing, saddle support, and beli...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-20T18:43:07.558756+00:00,2026-07-29T23:53:59.333090+00:00
rec_stick_vacuum_with_folding_joint_b32ad193f54f4902b6582ab3bc8ac901,Stick vacuum with folding joint,"A stick vacuum with a folding wand. A motor body connects to a straight wand and a floor head, with the fold joint placed between the body and the wand. Join...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-20T18:44:19.632420+00:00,2026-07-29T23:53:59.333090+00:00
rec_stove_top_0025,Stove top,A flat gas cooktop with four burners mounted in a thin counter slab and no base body under it. Five small round push-buttons form a shallow V shape across th...,是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:45:10.528300+00:00,2026-07-29T23:53:59.333090+00:00
rec_studio_spotlight_on_yoke_beda30bc15f3485ab275dd670aca71d3,Studio spotlight on yoke,"A studio spotlight on a yoke stand. A stand carries a U-shaped yoke, and the lamp can sits between the yoke arms. Joints: the yoke pans on a vertical revolut...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-20T18:46:01.069751+00:00,2026-07-29T23:53:59.333090+00:00
rec_swivel_bar_stool_f4fe2d5bfd374b929d470fab67fcc788,Swivel bar stool,"A pedestal swivel bar stool with a round base, a central post, and a circular seat. The seat rotates continuously about the vertical pedestal axis. Bar seati...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:46:49.564536+00:00,2026-07-29T23:53:59.333090+00:00
rec_syringe_20ecea2800f243d984a62a3555955804,Syringe,"Produce an outdoor weatherproof Syringe. Use sealed interfaces, drip-aware overhangs, corrosion-resistant hardware, and protected joints, anchored on a gradu...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-20T18:47:32.463269+00:00,2026-07-29T23:53:59.333090+00:00
rec_tackle_box_with_simple_hinged_lid_87b236b1175c40e194c3060d848b8e87,Tackle box with simple hinged lid,"A tackle box with a plain hinged lid. A rectangular box body supports one lid panel along the rear edge, with internal tray details kept fixed inside the bod...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-20T18:48:08.383149+00:00,2026-07-29T23:53:59.333090+00:00
rec_telescoping_boom_73c354e91fd74e1c8f4d08af5836cb4d,Telescoping boom,A low-profile rectangular telescoping boom. A broad root housing supports nested rectangular tubes sized so the outer stage remains visually dominant even wh...,是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-20T18:49:15.850872+00:00,2026-07-29T23:53:59.333090+00:00
rec_telescoping_mast_with_pan_head_a298d025d0d5404285b334d8ed08fbc5,Telescoping mast with pan head,A side-wall mast with rotating top stage. A grounded side support carries nested upright members and a compact top rotary cartridge. The upright members use...,是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:50:02.060999+00:00,2026-07-29T23:53:59.333090+00:00
rec_threejoint_prismatic_chain_286431f5e03a4b33b7072ec8f2bf62d4,Three-joint prismatic chain,An under-slung three-stage slide. A top support carries three nested sliders hanging beneath it in a clear root-to-tip chain. The nested stages are three ser...,是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-20T18:50:37.750450+00:00,2026-07-29T23:53:59.333090+00:00
rec_a-benchtop-monocular-laboratory-microscope-a-hea_20260331_230942_552800_6c80d18c,Benchtop Monocular Laboratory Microscope,"A benchtop monocular laboratory microscope. A heavy base supports a vertical column and fixed specimen stage, with an optical body carriage riding on the col...",否,,,old,满足,满足,满足,,,,满足,满足,,满足,满足,不满足,,,,wanglin,missing_dynamics,旧版350转换（有失败记录）,missing_dynamics 按旧标准语义映射到可信实体连接或支撑结构。,2026-07-29T23:53:59.333090+00:00,2026-07-30T00:13:11.652819+00:00
rec_a-casino-slot-machine-with-a-tall-cabinet-a-fron_20260401_024859_195918_39764297,Casino Machine,"A casino slot machine with a tall cabinet, a front reel window, a coin tray, and a large pull handle mounted on one side.",否,,,old,满足,不满足,不满足,,,,满足,满足,,满足,满足,满足,,,,wanglin,missing_part,旧版350转换（有失败记录）,missing_part → 零件数量和种类、必要结构均标为不满足。,2026-07-29T23:53:59.333090+00:00,2026-07-30T00:13:11.652819+00:00
rec_a-casino-slot-machine-with-a-tall-cabinet-a-fron_20260401_030831_141551_df669af7,Casino Machine,"A casino slot machine with a tall cabinet, a front reel window, a coin tray, and a large pull handle mounted on one side.",否,,,old,满足,满足,满足,,,,满足,满足,,满足,满足,满足,,,,,,旧版350转换（无失败记录）,该案例位于旧版前350条清单中，但旧版失败记录表没有此 Record ID；因此按旧版判定为无失败。仅旧版覆盖的维度写为“满足”，新版新增维度保留“未核验”。,2026-07-29T23:53:59.333090+00:00,2026-07-30T00:13:11.652819+00:00
rec_adjustable_weight_bench_with_hinged_backrest_a21d33f135c34b81b1ae32b9cdcdebb0,Adjustable weight bench with hinged backrest,"A flat-incline utility bench with a rectangular base, a hinged backrest, a smaller seat pad, and a rear ladder support, plus a pop-pin angle selector under t...",否,,,old,满足,满足,满足,,,,满足,满足,,满足,满足,不满足,,,,wanglin,missing_dynamics,旧版350转换（有失败记录）,missing_dynamics 按旧标准语义映射到可信实体连接或支撑结构。,2026-07-29T23:53:59.333090+00:00,2026-07-30T00:13:11.652819+00:00
rec_adjustable_weight_bench_with_hinged_backrest_ac226be3f7e643cea38ac6e89be5fb8a,Adjustable weight bench with hinged backrest,"A folding adjustable weight bench with a low tubular frame, a split backrest and seat pad, a rear support link, and front transport wheels, plus a foot-rolle...",否,,,old,满足,满足,满足,,,,满足,满足,,满足,满足,不满足,,,,wanglin,missing_dynamics,旧版350转换（有失败记录）,missing_dynamics 按旧标准语义映射到可信实体连接或支撑结构。,2026-07-29T23:53:59.333090+00:00,2026-07-30T00:13:11.652819+00:00
rec_adjustable_weight_bench_with_hinged_backrest_e70294c2acff425e9256328eefb31c21,Adjustable weight bench with hinged backrest,"An adjustable decline bench with a long back pad, an articulated seat, and a front leg-roller assembly, plus a front carry handle between the wheels. the fra...",否,,,old,满足,满足,满足,,,,满足,满足,,满足,满足,满足,,,,,,旧版350转换（无失败记录）,该案例位于旧版前350条清单中，但旧版失败记录表没有此 Record ID；因此按旧版判定为无失败。仅旧版覆盖的维度写为“满足”，新版新增维度保留“未核验”。,2026-07-29T23:53:59.333090+00:00,2026-07-30T00:13:11.652819+00:00
rec_air_conditioning_machine_40c7dd54ff9d4a15b80df53c88d03820,Air conditioning machine,"A low wall-console air conditioning machine with a shallow front body, a top discharge opening, and a pull-out filter drawer behind the front intake grille....",否,,,old,满足,满足,满足,,,,满足,满足,,满足,满足,不满足,,,,wanglin,missing_dynamics,旧版350转换（有失败记录）,missing_dynamics 按旧标准语义映射到可信实体连接或支撑结构。,2026-07-29T23:53:59.333090+00:00,2026-07-30T00:13:11.652819+00:00
rec_air_fryer_with_pullout_basket_c916f2034c4241e7a4f5e21f1b3e2550,Air fryer with pullout basket,"A basket-style air fryer with a rounded main housing, a pullout drawer, a perforated inner fry basket, and a top control panel with two rotary dials plus two...",否,,,old,满足,满足,满足,,,,满足,满足,,,,满足,,,,wanglin,invalid_axis_or_range,旧版350转换（有失败记录）,invalid_axis_or_range 无法区分轴向和范围，两个字段均标为待复核。,2026-07-29T23:53:59.333090+00:00,2026-07-30T00:13:11.652819+00:00
rec_air_pump_with_t_handle_59b4bcad3e694d50bbf796937bd3cde9,Air pump with T-handle,"A garage floor pump with a tall barrel, a T-handle, and a side hose clip. The rigid base carries the cylinder upright, and a small hook-like clip is mounted...",否,,,old,满足,满足,满足,,,,满足,满足,,满足,满足,满足,,,,wanglin,unreasonable_prompt,旧版350转换（有失败记录）,unreasonable_prompt 在新版中没有直接对应字段，仅保留旧标签和 Viewer 失败结论。,2026-07-29T23:53:59.333090+00:00,2026-07-30T00:13:11.652819+00:00
